Domain,Variable,Level,Value,Description,Data Type,Label,Role,Origin,Length,Significant Digit,Controlled Terminology,Category,Comments,Key Value
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGTXTHI""}",,text,,,CRF,200,0,,,,"Domain.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGTXTHI""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGTXTLO""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGTXTLO""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGVALHI""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGVALHI""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGVALLO""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='EQ5D5L'"",""QNAM"":""RNGVALLO""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGVALLO""}",,text,,,Derived,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGVALLO""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGVALHI""}",,text,,,Derived,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGVALHI""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGTXTLO""}",,text,,,Derived,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGTXTLO""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGTXTHI""}",,text,,,Derived,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='CSD'"",""QNAM"":""RNGTXTHI""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGTXTLO""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGTXTLO""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGTXTMD""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGTXTMD""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGTXTHI""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGTXTHI""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGVALLO""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGVALLO""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGVALMD""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGVALMD""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGVALHI""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI'"",""QNAM"":""RNGVALHI""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI_EDT'"",""QNAM"":""STIMULUS""}",,text,,,eDT,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI_EDT'"",""QNAM"":""STIMULUS""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI_EDT'"",""QNAM"":""STIMTEMP""}",,text,,,eDT,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":""='PI_EDT'"",""QNAM"":""STIMTEMP""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ASSESSEF""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ASSESSEF""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ASSEVL""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ASSEVL""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ATTCKNMB""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ATTCKNMB""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""BEDTMDTC""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""BEDTMDTC""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""BF15M7S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""BF15M7S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CGDOBDT""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CGDOBDT""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CGDOBDTC""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CGDOBDTC""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CHANGDT""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CHANGDT""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CHANGDTC""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CHANGDTC""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CONTACT""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CONTACT""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0201S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0201S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0202S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0202S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0203S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0203S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0204S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0204S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0205S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0205S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0213S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0213S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0216S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0216S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0218S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0218S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0219S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0219S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0401S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0401S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0402S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0402S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0403S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0403S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0404S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0404S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0405S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0405S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0413S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0413S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0416S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0416S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0418S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0418S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0419S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS0419S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9901S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9901S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9902S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9902S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9903S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9903S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9904S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9904S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9905S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9905S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9913S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9913S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9916S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9916S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9918S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9918S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9919S""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""CSS9919S""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""DWRTMSTR""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""DWRTMSTR""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ELEMENT""}",,text,,,Derived,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ELEMENT""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ENTRYDTC""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ENTRYDTC""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ETCD""}",,text,,,Derived,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""ETCD""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""EVNTFLAG""}",,text,,,eDT,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""EVNTFLAG""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0101""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0101""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0102""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0102""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0103""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0103""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0104""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0104""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0105""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0105""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0106""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0106""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0107""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0107""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0108""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0108""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0109""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0109""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0110""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0110""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0111""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0111""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0112""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0112""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0113""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0113""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0114""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0114""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0115""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0115""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0116""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0116""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0117""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0117""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0118""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0118""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0119""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0119""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0120""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0120""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0121""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0121""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0122""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0122""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0123""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0123""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0124""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0124""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0125""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0125""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0126""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0126""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0127""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0127""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0128""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0128""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0129""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0129""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0130""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0130""}"
SUPPQS,QVAL,"QNAM,DOMAIN,QSGRPID","{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0131""}",,text,,,CRF,200,0,,,,"SUPPQS.QVAL.{""DOMAIN"":""='QS'"",""QSGRPID"":"""",""QNAM"":""FACP0131""}"
